iter	RMSE
246	5249.061476
247	5232.359497
248	5216.204428
249	5196.260209
250	5180.24373
251	5164.019721
252	5144.414388
253	5127.675778
254	5115.136598
255	5097.965852
256	5085.959754
257	5066.907631
258	5051.271683
259	5033.203282
260	5018.877405
261	5003.661431
262	4985.346259
263	4968.952059
264	4953.693758
265	4941.538503
266	4930.445153
267	4919.078078
268	4900.90067
269	4885.601557
270	4867.749311
271	4853.338291
272	4841.567547
273	4825.801638
274	4811.340621
275	4794.558415
276	4780.122551
277	4766.057134
278	4754.462263
279	4737.711382
280	4720.421855
281	4709.142219
282	4697.740991
283	4687.418968
284	4670.726703
285	4657.445883
286	4644.12207
287	4633.881231
288	4619.280572
289	4603.180305
290	4589.11079
291	4577.744856
292	4563.747357
293	4550.299424
294	4540.55334
295	4530.337668
296	4517.149111
297	4503.447803
298	4493.724301
299	4477.910423
300	4468.016793
301	4458.198947
302	4447.867029
303	4437.826155
304	4422.970162
305	4413.336296
306	4400.801284
307	4390.85904
308	4380.381798
309	4371.240857
310	4358.518889
311	4345.720803
312	4336.147042
313	4323.712557
314	4314.737853
315	4305.666272
316	4295.130808
317	4281.938565
318	4271.449
319	4261.369171
320	4251.960531
321	4239.790516
322	4230.256707
323	4220.27983
324	4211.500289
325	4201.69646
326	4192.190886
327	4182.272559
328	4173.887979
329	4164.020588
330	4151.421173
331	4142.52064
332	4130.384632
333	4122.385285
334	4110.015806
335	4098.103291
336	4088.932039
337	4079.05446
338	4067.378081
339	4058.935475
340	4049.97189
341	4037.989097
342	4029.835633
343	4020.919227
344	4012.281252
345	4001.066686
346	3989.805466
347	3981.483785
348	3972.484316
349	3962.536664
350	3951.699063
351	3943.390725
352	3931.771393
353	3923.405189
354	3914.773467
355	3906.379155
356	3898.106
357	3889.673317
358	3881.084355
359	3870.332136
360	3862.504861
361	3853.640598
362	3841.405903
363	3833.277077
364	3822.242779
365	3811.77784
366	3801.138459
367	3790.199867
368	3781.614661
369	3773.336481
370	3762.340061
371	3753.893996
372	3743.298785
373	3735.883313
374	3725.753244
375	3718.106502
376	3706.235543
377	3695.474825
378	3687.705319
379	3678.042739
380	3669.608046
381	3662.377167
382	3654.956818
383	3646.931243
384	3639.367258
385	3629.1098
386	3621.643055
387	3614.121292
388	3606.352983
389	3598.433613
390	3588.299457
391	3581.346296
392	3573.856549
393	3566.497821
394	3559.257612
395	3549.759891
396	3542.854425
397	3536.388213
398	3527.271014
399	3517.859123
400	3510.280628
401	3502.954339
402	3495.841326
403	3485.974562
404	3476.484238
405	3469.507726
406	3462.549873
407	3455.203741
408	3446.787867
409	3438.315653
410	3430.686601
411	3424.18004
412	3417.779245
413	3410.727134
414	3402.8542
415	3396.455915
416	3389.777984
417	3383.079023
418	3376.190374
419	3369.629218
420	3360.691213
421	3354.695501
422	3347.30224
423	3341.311755
424	3334.749692
425	3324.868419
426	3316.342114
427	3309.176512
428	3302.638845
429	3296.257937
430	3290.086801
431	3282.41484
432	3276.070246
433	3270.080594
434	3263.583435
435	3254.939812
436	3248.708548
437	3241.77168
438	3235.377881
439	3229.507462
440	3223.248058
441	3216.884624
442	3210.797053
443	3204.77803
444	3197.902311
445	3191.836714
446	3185.246294
447	3178.706659
448	3172.421582
449	3166.08214
450	3159.24294
451	3152.703501
452	3147.086343
453	3140.600197
454	3134.900523
455	3129.201087
456	3123.138465
457	3117.366818
458	3111.626884
459	3106.378209
460	3100.546486
461	3095.082276
462	3087.213386
463	3082.059096
464	3076.000446
465	3070.480287
466	3064.337205
467	3058.559008
468	3052.846911
469	3047.138608
470	3041.152187
471	3034.331339
472	3026.80352
473	3020.769112
474	3015.451777
475	3007.563228
476	3001.537711
477	2996.616148
478	2987.616529
479	2982.460715
480	2974.98999
481	2969.19217
482	2963.852453
483	2958.589423
484	2953.400674
485	2948.356591
486	2942.496111
487	2934.731468
488	2929.461328
489	2922.557117
490	2917.600524
491	2912.683624
492	2907.724398
493	2902.607234
494	2896.484853
495	2891.105659
496	2885.991899
497	2880.757405
498	2875.657965
499	2870.785152
500	2866.007023
501	2858.392766
502	2852.165536
503	2845.500476
504	2840.783811
505	2835.331094
506	2830.663689
507	2825.77848
508	2820.965251
509	2816.50734
510	2811.24919
511	2806.401195
512	2801.190168
513	2796.552234
514	2791.389216
515	2786.486957
516	2781.350545
517	2776.322905
518	2771.611123
519	2767.143239
520	2762.705579
521	2758.144538
522	2753.559909
523	2748.693482
524	2744.065403
525	2739.512449
526	2734.98118
527	2729.930487
528	2725.599316
529	2721.230145
530	2716.27584
531	2709.841415
532	2705.195961
533	2700.923532
534	2696.477819
535	2690.98451
536	2686.602702
537	2682.043825
538	2676.645288
539	2672.215486
540	2667.125247
541	2662.168987
542	2657.434015
543	2652.792182
544	2648.836049
545	2644.739877
546	2639.788934
547	2635.487535
548	2630.914479
549	2626.726605
550	2622.510892
551	2616.800943
552	2612.963905
553	2608.309585
554	2604.22964
555	2600.355011
556	2596.318432
557	2592.431294
558	2588.697374
559	2584.835594
560	2579.241887
561	2575.246229
562	2571.281557
563	2567.338563
564	2562.923596
565	2559.126211
566	2554.491039
567	2550.155769
568	2546.373096
569	2540.911826
570	2537.002392
571	2533.188918
572	2527.971866
573	2523.908388
574	2520.102411
575	2516.033528
576	2512.301647
577	2508.184486
578	2504.281358
579	2500.916063
580	2497.304955
581	2493.352674
582	2489.279647
583	2485.437015
584	2481.671985
585	2478.183048
586	2474.27006
587	2470.738721
588	2466.902204
589	2463.263944
590	2459.201895
591	2455.595539
592	2451.467881
593	2448.228282
594	2444.626548
595	2440.717897
596	2437.20569
597	2433.792749
598	2430.488984
599	2425.342475
600	2419.951051
601	2416.512765
602	2413.306105
603	2409.93757
604	2406.523418
605	2402.629243
606	2399.254043
607	2395.862382
608	2392.605983
609	2389.365679
610	2385.825609
611	2382.437816
612	2379.110215
613	2375.774358
614	2372.419915
615	2369.262685
616	2365.784633
617	2362.864073
618	2359.684027
619	2356.764135
620	2351.487241
621	2347.574335
622	2344.438632
623	2341.35595
624	2337.364858
625	2334.105021
626	2329.214642
627	2326.139588
628	2322.764579
629	2319.769374
630	2316.891249
631	2313.339965
632	2310.154751
633	2307.166453
634	2303.990819
635	2300.636679
636	2297.682137
637	2292.629988
638	2289.873826
639	2286.809729
640	2283.984329
641	2279.68515
642	2276.597885
643	2273.641722
644	2270.827994
645	2267.893756
646	2263.537832
647	2258.771991
648	2255.506613
649	2250.32772
650	2247.56109
651	2244.727446
652	2242.017832
653	2238.191602
654	2235.474473
655	2232.696504
656	2229.990064
657	2227.190333
658	2224.106647
659	2219.956433
660	2217.315434
661	2214.586513
662	2211.282872
663	2208.691359
664	2203.926142
665	2201.067553
666	2198.053981
667	2195.503816
668	2191.761004
669	2189.360009
670	2186.478465
671	2183.8612
672	2181.300411
673	2178.682122
674	2176.337862
675	2173.128971
676	2170.567211
677	2167.68623
678	2165.21977
679	2162.204815
680	2159.687792
681	2157.187546
682	2154.69288
683	2150.739209
684	2148.010571
685	2145.576781
686	2143.055289
687	2139.798741
688	2137.358247
689	2134.836471
690	2130.977621
691	2128.45689
692	2125.790143
693	2122.051646
694	2118.64082
695	2116.02139
696	2113.618215
697	2111.311764
698	2108.97953
699	2106.187132
700	2103.659384
701	2101.344981
702	2099.062583
703	2096.791585
704	2093.380957
705	2090.767357
706	2087.988229
707	2085.050022
708	2082.778781
709	2080.472217
710	2078.44665
711	2076.396913
712	2074.143247
713	2071.690529
714	2069.463242
715	2067.218963
716	2065.111061
717	2063.131113
718	2059.344093
719	2057.19967
720	2055.020042
721	2052.790013
722	2050.857857
723	2048.524329
724	2046.153445
725	2044.040798
726	2041.684654
727	2039.114936
728	2036.215709
729	2032.899935
730	2030.674112
731	2027.106029
732	2024.307052
733	2022.092312
734	2019.683001
735	2017.174836
736	2015.004471
737	2012.966701
738	2009.214458
739	2007.238401
740	2003.408642
741	2001.563791
742	1999.471423
743	1997.465481
744	1993.932495
745	1991.952127
746	1990.046405
747	1987.383423
748	1985.617284
749	1982.725378
750	1980.793521
751	1977.179755
752	1975.40581
753	1972.799329
754	1970.424489
755	1968.449824
756	1965.855056
757	1962.508422
758	1960.428421
759	1957.723844
760	1955.219654
761	1952.547972
762	1950.855711
763	1948.839234
764	1947.041696
765	1944.919915
766	1941.108235
767	1939.514004
768	1936.126538
769	1933.933279
770	1932.350781
771	1929.353279
772	1926.37706
773	1924.010551
774	1921.606734
775	1919.959791
776	1918.365831
777	1915.323607
778	1912.844096
779	1911.150888
780	1909.020642
781	1906.915591
782	1903.923353
783	1900.801534
784	1899.182731
785	1896.041756
786	1894.327542
787	1892.679071
788	1890.210123
789	1888.400076
790	1886.851459
791	1885.20886
792	1882.689954
793	1879.78043
794	1878.288609
795	1876.713456
796	1875.084448
797	1872.456358
798	1870.810272
799	1869.268679
800	1867.081865
801	1865.338613
802	1863.831643
803	1861.310339
804	1859.775026
805	1858.238425
806	1856.402002
807	1854.621109
808	1853.156502
809	1850.819053
810	1849.301589
811	1847.634518
812	1846.188889
813	1844.407291
814	1841.330725
815	1839.499518
816	1837.680063
817	1836.259523
818	1834.530484
819	1833.113199
820	1831.680887
821	1830.245148
822	1827.565708
823	1826.115378
824	1824.702236
825	1822.1324
826	1820.616547
827	1819.077376
828	1817.823526
829	1816.258082
830	1814.812228
831	1813.147431
832	1811.559711
833	1809.942204
834	1807.862041
835	1806.477887
836	1805.228391
837	1803.939626
838	1802.585266
839	1799.865497
840	1798.339145
841	1796.10669
842	1794.853935
843	1793.560514
844	1792.08539
845	1790.327232
846	1787.327354
847	1786.042988
848	1784.779634
849	1783.588941
850	1780.445864
851	1779.248263
852	1776.804086
853	1773.438961
854	1771.93984
855	1769.875492
856	1767.863112
857	1766.551664
858	1765.245722
859	1763.626451
860	1762.511459
861	1761.322688
862	1760.027048
863	1758.856736
864	1755.870997
865	1754.706305
866	1753.565164
867	1752.366114
868	1751.210949
869	1747.842036
870	1746.697793
871	1745.515328
872	1744.072428
873	1741.216297
874	1740.075359
875	1737.705544
876	1736.439674
877	1733.866757
878	1732.802203
879	1731.812043
880	1730.628285
881	1728.203432
882	1726.37
883	1725.254851
884	1724.205411
885	1723.128183
886	1722.035022
887	1718.9569
888	1717.683353
889	1716.548101
890	1715.165423
891	1714.101069
892	1712.86517
893	1711.910447
894	1710.676699
895	1709.597318
896	1706.513259
897	1705.018043
898	1703.425669
899	1702.035684
900	1700.86215
901	1699.79112
902	1698.529769
903	1695.879557
904	1694.400374
905	1693.12896
906	1692.079974
907	1691.038905
908	1690.004627
909	1689.019229
910	1685.930205
911	1684.937187
912	1682.178166
913	1680.919738
914	1680.007158
915	1679.000924
916	1677.478512
917	1676.253866
918	1673.746761
919	1672.629525
920	1671.673895
921	1670.712157
922	1669.722982
923	1668.565689
924	1667.043009
925	1664.080648
926	1662.244375
927	1661.078545
928	1660.228434
929	1659.272412
930	1657.99659
931	1657.096587
932	1656.192903
933	1655.303298
934	1652.959014
935	1651.890837
936	1650.749543
937	1649.800069
938	1648.922852
939	1648.04393
940	1647.092741
941	1646.322378
942	1644.911342
943	1643.91
944	1643.094648
945	1642.020339
946	1639.303659
947	1638.307747
948	1637.490733
949	1636.437547
950	1635.649322
951	1633.381098
952	1632.316634
953	1631.423647
954	1630.299142
955	1629.496358
956	1627.045648
957	1626.231089
958	1625.385109
959	1624.245181
960	1623.441902
961	1622.345384
962	1620.486315
963	1619.440886
964	1618.050853
965	1617.355378
966	1616.555926
967	1615.731664
968	1614.98463
969	1612.533829
970	1610.237493
971	1608.520797
972	1607.613473
973	1606.71011
974	1605.641961
975	1604.668121
976	1603.796263
977	1603.040707
978	1602.310556
979	1601.567022
980	1599.222157
981	1596.820191
982	1595.940934
983	1595.2452
984	1594.505595
985	1593.767073
986	1591.34838
987	1589.28751
988	1588.614365
989	1587.888512
990	1587.102111
991	1584.874154
992	1584.096911
993	1583.06905
994	1582.420354
995	1581.662034
996	1580.804101
997	1579.928652
998	1579.16869
999	1578.565134
